sentence,entities
"He was not, perhaps, very comfortable lying on the hot, hard earth but, on the other hand, nobody was glaring at him, grinding their teeth so loudly that he could not hear the news, or shooting nasty questions at him, as had happened every time he had tried sitting down in the living room to watch television with his aunt and uncle.
    ",[]
"Almost as though this thought had fluttered through the open window, Vernon Dursley, Harry's uncle, suddenly spoke.
    ","['Vernon Dursley', 'Harry']"
'Glad to see the boy's stopped trying to butt in.,['Glad']
"Where is he, anyway?'
    ",[]
"'I don't know,' said Aunt Petunia, unconcerned.",['Aunt Petunia']
"'Not in the house.'
    ",[]
"Uncle Vernon grunted.
    ",['Vernon']
'Watching the news . . .',[]
he said scathingly.,[]
'I'd like to know what he's really up to.,[]
As if a normal boy cares what's on the news - 'Dudley hasn't got a clue what's going on; doubt he knows who the Prime Minister is!,['Dudley']
"Anyway, it's not as if there'd be anything about his lot on our news - '
    'Vernon, shh!' said Aunt Petunia.","['Vernon', 'Aunt Petunia']"
"The window's open!'
    ",[]
"'Oh - yes - sorry, dear.",[]
"'
    ",[]
The Dursleys fell silent.,[]
"Harry listened to a jingle about Fruit 'n' Bran breakfast cereal while he watched Mrs Figg, a batty cat-loving old lady from nearby Wisteria Walk, amble slowly past.","['Harry', ""Fruit 'n' Bran"", 'Mrs Figg', 'Wisteria Walk']"
She was frowning and muttering to herself.,[]
"Harry was very pleased he was concealed behind the bush, as Mrs Figg had recently taken to asking him round for tea whenever she met him in the street.","['Harry', 'bush', 'Mrs Figg']"
"She had rounded the corner and vanished from view before Uncle Vernon's voice floated out of the window again.
    ","['Uncle', 'Vernon']"
"'Dudders out for tea?'
    'At the Polkisses',' said Aunt Petunia fondly.",['Aunt Petunia']
"'He's got so many little friends, he's so popular . . .",[]
"'
    ",[]
Harry suppressed a snort with difficulty.,['Harry']
"The Dursleys really were astonishingly stupid about their son, Dudley.",['Dudley']
They had swallowed all his dim-witted lies about having tea with a different member of his gang every night of the summer holidays.,['every night of']
"Harry knew perfectly well that Dudley had not been to tea anywhere; he and his gang spent every evening vandalising the play park, smoking on street corners and throwing stones at passing cars and children.","['Harry', 'Dudley', 'every evening']"
"Harry had seen them at it during his evening walks around Little Whinging; he had spent most of the holidays wandering the streets, scavenging newspapers from bins along the way.
    ","['Harry', 'Little Whinging']"
The opening notes of the music that heralded the seven o'clock news reached Harry's ears and his stomach turned over.,"[""seven o'clock"", 'Harry']"
"Perhaps tonight - after a month of waiting - would be the night.
    ",['a month']
"'Record numbers of stranded holidaymakers fill airports as the Spanish baggage-handlers' strike reaches its second week - '
    'Give 'em a lifelong siesta, I would,' snarled Uncle Vernon over the end of the newsreaders sentence, but no matter: outside in the flowerbed, Harry's stomach seemed to unclench.","['Spanish', 'second', ""week - '"", 'Uncle', 'Vernon', 'Harry']"
"If anything had happened, it would surely have been the first item on the news; death and destruction were more important than stranded holidaymakers.
    ",['first']
"He let out a long, slow breath and stared up at the brilliant blue sky.",[]
"Every day this summer had been the same: the tension, the expectation, the temporary relief, and then mounting tension again . . .",[]
"and always, growing more insistent all the time, the question of why nothing had happened yet.
    ",[]
"He kept listening, just in case there was some small clue, not recognised for what it really was by the Muggles - an unexplained disappearance, perhaps, or some strange accident . . .",[]
but the baggage-handlers' strike was followed by news about the drought in the Southeast ('I hope he's listening next door!',[]
bellowed Uncle Vernon.,['Uncle Vernon']
',[]
"Him with his sprinklers on at three in the morning!'), then a helicopter that had almost crashed in a field in Surrey, then a famous actress's divorce from her famous husband ('As if we're interested in their sordid affairs,' sniffed Aunt Petunia, who had followed the case obsessively in every magazine she could lay her bony hands on).
    ","['three in the morning', 'Surrey', 'Aunt Petunia']"
"Harry closed his eyes against the now blazing evening sky as the newsreader said, '- and finally, Bungy the budgie has found a novel way of keeping cool this summer.","['Harry', 'Bungy', 'this summer']"
"Bungy, who lives at the Five Feathers in Barnsley, has learned to water ski!","['Five', 'Barnsley']"
Mary Dorkins went to find out more.,['Mary Dorkins']
"'
    ",[]
Harry opened his eyes.,['Harry']
"If they had reached water-skiing budgerigars, there would be nothing else worth hearing.",[]
"He rolled cautiously on to his front and raised himself on to his knees and elbows, preparing to crawl out from under the window.
    ",[]
"He had moved about two inches when several things happened in very quick succession.
    ",['about two inches']
"A loud, echoing crack broke the sleepy silence like a gunshot; a cat streaked out from under a parked car and flew out of sight; a shriek, a bellowed oath and the sound of breaking china came from the Dursleys' living room, and as though this was the signal Harry had been waiting for he jumped to his feet, at the same time pulling from the waistband of his jeans a thin wooden wand as if he were unsheathing a sword - but before he could draw himself up to full height, the top of his head collided with the Dursleys' open window.","['china', 'Dursleys', 'Harry', 'Dursleys']"
"The resultant crash made Aunt Petunia scream even louder.
    ",['Aunt Petunia']
Harry felt as though his head had been split in two.,"['Harry', 'two']"
"Eyes streaming, he swayed, trying to focus on the street to spot the source of the noise, but he had barely staggered upright when two large purple hands reached through the open window and closed tightly around his throat.
    ",['two']
'Put - it - away!',[]
Uncle Vernon snarled into Harry's ear. ',"['Vernon', 'Harry']"
Now!,[]
"Before - anyone - sees!'
    'Get - off - me!'",[]
Harry gasped.,['Harry']
"For a few seconds they struggled, Harry pulling at his uncle's sausage-like fingers with his left hand, his right maintaining a firm grip on his raised wand; then, as the pain in the top of Harry's head gave a particularly nasty throb, Uncle Vernon yelped and released Harry as though he had received an electric shock.","['a few seconds', 'Harry', 'Harry', 'Uncle Vernon yelped', 'Harry']"
"Some invisible force seemed to have surged through his nephew, making him impossible to hold.
    ",[]
"Panting, Harry fell forwards over the hydrangea bush, straightened up and stared around.","['Harry', 'bush']"
"There was no sign of what had caused the loud cracking noise, but there were several faces peering through various nearby windows.",[]
"Harry stuffed his wand hastily back into his jeans and tried to look innocent.
    ",['Harry stuffed']
"'Lovely evening!' shouted Uncle Vernon, waving at Mrs Number Seven opposite, who was glaring from behind her net curtains.","['evening', 'Uncle Vernon', 'Number Seven']"
'Did you hear that car backfire just now?,[]
"Gave Petunia and me quite a turn!'
    ",['Gave Petunia']
"He continued to grin in a horrible, manic way until all the curious neighbours had disappeared from their various windows, then the grin became a grimace of rage as he beckoned Harry back towards him.
    ",['Harry']
"Harry moved a few steps closer, taking care to stop just short of the point at which Uncle Vernon's outstretched hands could resume their strangling.
    ","['Harry', ""Uncle Vernon's""]"
"'What the devil do you mean by it, boy?' asked Uncle Vernon in a croaky voice that trembled with fury.
    ",['Uncle Vernon']
'What do I mean by what?' said Harry coldly.,['Harry coldly']
"He kept looking left and right up the street, still hoping to see the person who had made the cracking noise.
    ",[]
"'Making a racket like a starting pistol right outside our - '
    'I didn't make that noise,' said Harry firmly.
    ",['Harry']
"Aunt Petunia's thin, horsy face now appeared beside Uncle Vernon's wide, purple one.","['Petunia', ""Uncle Vernon's""]"
"She looked livid.
    ",[]
"'Why were you lurking under our window?'
    'Yes - yes, good point, Petunia!",['Petunia']
"What were you doing under our window, boy?'
    'Listening to the news,' said Harry in a resigned voice.
    ",['Harry']
"His aunt and uncle exchanged looks of outrage.
    ",[]
'Listening to the news!,[]
"Again?'
    'Well, it changes every day, you see,' said Harry.
    'Don't you be clever with me, boy!",['Harry']
I want to know what you're really up to - and don't give me any more of this listening to the news tosh!,[]
"You know perfectly well that your lot - '
    'Careful, Vernon!' breathed Aunt Petunia, and Uncle Vernon lowered his voice so that Harry could barely hear him,' - that your lot don't get on our news!'
    ","['Vernon', 'Aunt Petunia', 'Uncle Vernon', 'Harry']"
"That's all you know,' said Harry.
    ",['Harry']
"The Dursleys goggled at him for a few seconds, then Aunt Petunia said, 'You're a nasty little liar.","['a few seconds', 'Aunt Petunia']"
"What are all those - ' she, too, lowered her voice so that Harry had to lip-read the next word, ' - owls doing if they're not bringing you news?'
    ",['Harry']
'Aha!' said Uncle Vernon in a triumphant whisper.,['Uncle Vernon']
"'Get out of that one, boy!",[]
"As if we didn't know you get all your news from those pestilential birds!'
    Harry hesitated for a moment.",['Harry']
"It cost him something to tell the truth this time, even though his aunt and uncle could not possibly know how bad he felt at admitting it.
    ",[]
'The owls . .,[]
.,[]
"aren't bringing me news,' he said tonelessly.
    ",[]
"'I don't believe it,' said Aunt Petunia at once.
    ",['Aunt Petunia']
"'No more do I,' said Uncle Vernon forcefully.
    ",['Uncle Vernon']
"'We know you're up to something funny' said Aunt Petunia.
    ",['Aunt Petunia']
"'We're not stupid, you know,' said Uncle Vernon.
    ",['Uncle Vernon']
"'Well, that's news to me,' said Harry, his temper rising, and before the Dursleys could call him back, he had wheeled about, crossed the front lawn, stepped over the low garden wall and was striding off up the street.
    ",['Harry']
He was in trouble now and he knew it.,[]
"He would have to face his aunt and uncle later and pay the price for his rudeness, but he: did not care very much just at the moment; he had much more pressing matters on his mind.
    ",[]
Harry was sure the cracking noise had been made by someone Apparating or Disapparating.,"['Harry', 'Apparating']"
It was exactly the sound Dobby the house-elf made when he vanished into thin air.,['Dobby']
Was it possible that Dobby was here in Privet Drive?,"['Dobby', 'Privet Drive']"
Could Dobby be following him right at this very moment?,['Dobby']
"As this thought occurred he wheeled around and stared back down Privet Drive, but it appeared to be completely deserted and Harry was sure that Dobby did not know how to become invisible.
    ","['Privet Drive', 'Harry', 'Dobby']"
"He walked on, hardly aware of the route he was taking, for he had pounded these streets so often lately that his feet carried him to his favourite haunts automatically.",[]
Every few steps he glanced back over his shoulder.,[]
"Someone magical had been near him as he lay among Aunt Petunia's dying begonias, he was sure of it.",['Petunia']
"Why hadn't they spoken to him, why hadn't they made contact, why were they hiding now?
    ",[]
"And then, as his feeling of frustration peaked, his certainty leaked away.
    ",[]
Perhaps it hadn't been a magical sound after all.,[]
Perhaps he was so desperate for the tiniest sign of contact from the world to which he belonged that he was simply overreacting to perfectly ordinary noises.,[]
"Could he be sure it hadn't been the sound of something breaking inside a neighbour's house?
    ",[]
"Harry felt a dull, sinking sensation in his stomach and before he knew it the feeling of hopelessness that had plagued him all summer rolled over him once again.
    ",['Harry']
Tomorrow morning he would be woken by the alarm at five o'clock so he could pay the owl that delivered the Daily Prophet - but was there any point continuing to take it?,"['Tomorrow', ""five o'clock""]"
"Harry merely glanced at the front page before throwing it aside these days; when the idiots who ran the paper finally realised that Voldemort was back it would be headline news, and that was the only kind Harry cared about.
    ","['Harry', 'these days', 'Voldemort', 'Harry']"
"If he was lucky, there would also be owls carrying letters from his best friends Ron and Hermione, though any expectation he'd had that their letters would bring him news had long since been dashed.
    ",['Ron']
"We can't say much about you-know-what, obviously . . .",[]
We've been told not to say anything important in case our letters go astray . . .,[]
We're quite busy but I can't give you details here . . .,[]
"There's a fair amount going on, we'll tell you everything when we see you . .",[]
".
    ",[]
But when were they going to see him?,[]
Nobody seemed too bothered with a precise date.,[]
"Hermione had scribbled I expect we'll be seeing you quite soon inside his birthday card, but how soon was soon?",[]
"As far as Harry could tell from the vague hints in their letters, Hermione and Ron were in the same place, presumably at Ron's parents' house.","['Harry', 'Hermione', 'Ron', 'Ron']"
He could hardly bear to think of the pair of them having fun at The Burrow when he was stuck in Privet Drive.,['Privet Drive']
"In fact, he was so angry with them he had thrown away, unopened, the two boxes of Honeydukes chocolates they'd sent him for his birthday.","['two', 'Honeydukes']"
"He'd regretted it later, after the wilted salad Aunt Petunia had provided for dinner that night.
    ","['Aunt Petunia', 'that night']"
And what were Ron and Hermione busy with?,['Ron']
"Why wasn't he, Harry, busy?",['Harry']
Hadn't he proved himself capable of handling much more than them?,[]
Had they all forgotten what he had done?,[]
"Hadn't it been he who had entered that graveyard and watched Cedric being murdered, and been tied to that tombstone and nearly killed?
    Don't think about that, Harry told himself sternly for the hundredth time that summer.","['Cedric', 'Harry', 'hundredth']"
"It was bad enough that he kept revisiting the graveyard in his nightmares, without dwelling on it in his waking moments too.
    ",[]
He turned a corner into Magnolia Crescent; halfway along he passed the narrow alleyway down the side of a garage where he had first clapped eyes on his godfather.,"['Magnolia Crescent', 'first']"
"Sirius, at least, seemed to understand how Harry was feeling.",['Harry']
"Admittedly, his letters were just as empty of proper news as Ron and Hermione's, but at least they contained words of caution and consolation instead of tantalising hints: I know this must be frustrating for you . . .","['Ron', 'Hermione']"
Keep your nose clean and everything will be OK . .,[]
.Be careful and don't do anything rash . .,[]
".
    ",[]
"Well, thought Harry, as he crossed Magnolia Crescent, turned into Magnolia Road and headed towards the darkening play park, he had (by and large) done as Sirius advised.","['Harry', 'Magnolia Crescent', 'Magnolia Road', 'Sirius']"
He had at least resisted the temptation to tie his trunk to his broomstick and set off for The Burrow by himself.,[]
"In fact, Harry thought his behaviour had been very good considering how frustrated and angry he felt at being stuck in Privet Drive so long, reduced to hiding in flowerbeds in the hope of hearing something that might point to what Lord Voldemort was doing.","['Harry', 'Privet Drive', 'Voldemort']"
"Nevertheless, it was quite galling to be told not to be rash by a man who had served twelve years in the wizard prison, Azkaban, escaped, attempted to commit the murder he had been convicted for in the first place, then gone on the run with a stolen Hippogriff.
    ","['twelve years', 'Azkaban', 'first', 'Hippogriff']"
Harry vaulted over the locked park gate and set off across the parched grass.,['Harry']
The park was as empty as the surrounding streets.,[]
"When he reached the swings he sank on to the only one that Dudley and his friends had not yet managed to break, coiled one arm around the chain and stared moodily at the ground.","['Dudley', 'one']"
He would not be able to hide in the Dursleys' flowerbed again.,['Dursleys']
"Tomorrow, he would have to think of some fresh way of listening to the news.",['Tomorrow']
"In the meantime, he had nothing to look forward to but another restless, disturbed night, because even when he escaped the nightmares about Cedric he had unsettling dreams about long dark corridors, all finishing in dead ends and locked doors, which he supposed had something to do with the trapped feeling he had when he was awake.",['Cedric']
"Often the old scar on his forehead prickled uncomfortably, but he did not fool himself that Ron or Hermione or Sirius would find that very interesting any more.",['Ron']
"In the past, his scar hurting had warned that Voldemort was getting stronger again, but now that Voldemort was back they would probably remind him that its regular irritation was only to be expected . . .","['Voldemort', 'Voldemort']"
nothing to worry about . . .,[]
"old news . . .
    ",[]
The injustice of it all welled up inside him so that he wanted to yell with fury.,[]
"If it hadn't been for him, nobody would even have known Voldemort was back!",['Voldemort']
And.,[]
"his reward was to be stuck in Little Whinging for four solid weeks, completely cut off from the magical world, reduced to squatting among dying begonias so hat he could hear about water-skiing budgerigars!","['Little Whinging', 'four solid weeks']"
How could Dumbledore have forgotten him so easily?,['Dumbledore']
"Why had Ron and Hermione got together without inviting him along, too?",['Ron']
How much longer was he supposed to endure Sirius telling him to sit tight and be a good boy; or resist the temptation to write to the stupid Daily Prophet and point out that Voldemort had returned?,"['Daily Prophet', 'Voldemort']"
"These curious thoughts whirled around in Harry's head, and his insides writhed with anger as a sultry, velvety night fell around him, the air full of the smell of warm, dry grass, and the only sound that of the low grumble of traffic on the road beyond the park railings.",['Harry']
He did not know how long he had sat on the swing before the sound of voices interrupted his musings and he looked up.,[]
The streetlamps from the surrounding roads were casting a misty glow strong enough to silhouette a group of people making their way across the park.,[]
"One of them was singing a loud, crude song.",['One']
The others were laughing.,[]
"A soft ticking noise came from several expensive racing bikes that they were wheeling along.
    ",[]
Harry knew who those people were.,['Harry']
"The figure in front was unmistakeably his cousin, Dudley Dursley wending his way home, accompanied by his faithful gang.
    ",['Dudley Dursley']
"Dudley was as vast as ever, but a year's hard dieting and the discovery of a new talent had wrought quite a change in his physique.","['Dudley', 'year']"
"As Uncle Vernon delightedly told anyone who would listen, Dudley had recently become the Junior Heavyweight Inter-school Boxing Champion of the Southeast.","['Uncle Vernon', 'Dudley']"
"'The noble sport', as Uncle Vernon called it, had made Dudley even more formidable than he had seemed to Harry in their primary school days when he had served as Dudley's first punchball.","['Uncle Vernon', 'Dudley', 'Harry', 'Dudley', 'first']"
Harry was not remotely afraid of his cousin any more but he still didn't think that Dudley earning to punch harder and more accurately was cause for celebration.,"['Harry', 'Dudley']"
"Neighbourhood children all around were terrified of him - even more terrified than they were of 'that Potter boy' who, they lad been warned, was a hardened hooligan and attended St Brutus's secure Centre for Incurably Criminal Boys.
    ","['Potter', ""St Brutus's"", 'Centre for Incurably Criminal Boys']"
Harry watched the dark figures crossing the grass and wondered who they had been beating up tonight.,"['Harry', 'tonight']"
"Look round, Harry found himself thinking as he watched them.",['Harry']
Come on . . .,[]
look round . . .,[]
I'm sitting here all alone . . .,[]
come and have a go . .,[]
".
    ",[]
"If Dudley's friends saw him sitting here, they would be sure to make a beeline for him, and what would Dudley do then?","['Dudley', 'Dudley']"
"He wouldn't want to lose face in front of the gang, but he'd be terrified of provoking Harry . . .",['Harry']
"it would be really fun to watch Dudley's dilemma, to taunt him, watch him, with him powerless to respond . . .",['Dudley']
"and if any of the others tried hitting Harry, he was ready - he had his wand.",['Harry']
Let them try . . .,[]
"he'd love to vent some of his frustration on the boys who had once made his life hell.
    ",[]
"But they didn't turn around, they didn't see him, they were almost at the railings.",[]
Harry mastered the impulse to call after them . .,['Harry']
.,[]
seeking a fight was not a smart move . . .,[]
"he must not use magic he would be risking expulsion again.
    ",[]
"The voices of Dudley's gang died away; they were out of sight, heading along Magnolia Road.
    ","['Dudley', 'Magnolia Road']"
"There you go, Sirius, Harry thought dully.","['Sirius', 'Harry']"
Nothing rash.,[]
Kept my nose clean.,[]
"Exactly the opposite of what you'd have done.
    ",[]
He got to his feet and stretched.,[]
"Aunt Petunia and Uncle Vernon seemed to feel that whenever Dudley turned up was the right time to be home, and any time after that was much too late.","['Uncle Vernon', 'Dudley']"
"Uncle Vernon had threatened to lock Harry in the shed if he came home alter Dudley ever again, so, stifling a yawn, and still scowling, Harry set off towards the park gate.
    ","['Uncle Vernon', 'Harry', 'Dudley', 'Harry']"
"Magnolia Road, like Privet Drive, was full of large, square houses with perfectly manicured lawns, all owned by large, square owners who drove very clean cars similar to Uncle Vernon's.","['Privet Drive', ""Uncle Vernon's""]"
"Harry preferred Little Whinging by night, when the curtained windows made patches of jewel-bright colour in the darkness and he ran no danger of hearing disapproving mutters about his 'delinquent' appearance when he passed the householders.","['Harry', 'Little Whinging', 'night']"
"He walked quickly, so that halfway along Magnolia Road Dudley's gang came into view again; they were saying their farewells at the entrance to Magnolia Crescent.","[""Magnolia Road Dudley's"", 'Magnolia Crescent']"
"Harry stepped into the shadow of a large lilac tree and waited.
    '. . .",['Harry']
"squealed like a pig, didn't he?'",[]
"Malcolm was saying, to guffaws from the others.
    ",['Malcolm']
"'Nice right hook, Big D,' said Piers.
    ",[]
"'Same time tomorrow?' said Dudley.
    ","['tomorrow', 'Dudley']"
"'Round at my place, my parents will be out,' said Gordon.
    ",['Gordon']
"'See you then,' said Dudley.
    ",['Dudley']
"'Bye, Dud!'
    'See ya, Big D!'
    Harry waited for the rest of the gang to move on before setting off again.","['Dud', 'Harry']"
"When their voices had faded once more he headed around the corner into Magnolia Crescent and by walking very quickly he soon came within hailing distance of Dudley, who was strolling along at his ease, humming tunelessly.
    ","['Magnolia Crescent', 'Dudley']"
"'Hey, Big D!'
    Dudley turned.
    ",['Dudley']
"'Oh,' he grunted.",[]
"'It's you.'
    ",[]
"'How long have you been ""Big D"" then?' said Harry.
    'Shut it,' snarled Dudley, turning away.
    ","['Harry', 'Shut', 'Dudley']"
"'Cool name,' said Harry, grinning and falling into step beside is cousin.",['Harry']
',[]
"But you'll always be ""Ickle Diddykins"" to me.'
    ",['Ickle']
"'I said, SHUT IT!' said Dudley, whose ham-like hands had curled into fists.
    ",['Dudley']
"'Don't the boys know that's what your mum calls you?'
    'Shut your face.'
    ",['Shut']
'You don't tell her to shut her face.,[]
"What about ""Popkin"" and ""Dinky Diddydums"", can I use them then?'
    ",[]
Dudley said nothing.,['Dudley']
"The effort of keeping himself from hitting Harry seemed to demand all his self-control.
    ",['Harry']
'So who've you been beating up tonight?',['tonight']
"Harry asked, his grin fading.",['Harry']
'Another ten-year-old?,['ten-year-old']
"I know you did Mark Evans two nights ago - '
    'He was asking for it,' snarled Dudley.
    ","['Mark Evans', 'two nights ago', 'Dudley']"
',[]
"Oh yeah?'
    'He cheeked me.'
    ",[]
'Yeah?,[]
Did he say you look like a pig that's been taught to walk on its hind legs?,[]
"'Cause that's not cheek, Dud, that's true.",['Dud']
"'
    ",[]
A muscle was twitching in Dudley's jaw.,['Dudley']
"It gave Harry enormous satisfaction to know how furious he was making Dudley; he felt as though he was siphoning off his own frustration into his cousin, the only outlet he had.
    ","['Harry', 'Dudley']"
They turned right down the narrow alleyway where Harry had first seen Sirius and which formed a short cut between Magnolia Crescent and Wisteria Walk.,"['Harry', 'Magnolia Crescent', 'Wisteria Walk']"
It was empty and much darker than the streets it linked because there were no streetlamps.,[]
"Their footsteps were muffled between garage walls on one side and a high fence on the other.
    ",['one']
"Think you're a big man carrying that thing, don't you?'",[]
"Dudley said after a few seconds.
    ","['Dudley', 'a few seconds']"
"'What thing?'
    ",[]
That - that thing you are hiding.,[]
"'
    ",[]
"Harry grinned again.
    ",['Harry']
"'Not as stupid as you look, are you, Dud?",['Dud']
"But I s'pose, if you were, you wouldn't be able to walk and talk at the same time.",[]
"'
    ",[]
Harry pulled out his wand.,['Harry']
"He saw Dudley look sideways at it.
    ",['Dudley']
"'You're not allowed,' Dudley said at once.",['Dudley']
'I know you're not.,[]
"You'd get expelled from that freak school you go to.'
    'How d'you know they haven't changed the rules, Big D?'
    ",[]
"They haven't,' said Dudley, though he didn't sound completely convinced.
    ",['Dudley']
"Harry laughed softly.
    ",['Harry']
"'You haven't got the guts to take me on without that thing, have you?'",[]
"Dudley snarled.
    ",['Dudley']
',[]
Whereas you just need four mates behind you before you can beat up a ten year old.,"['four', 'ten year old']"
You know that boxing title you keep banging on about?,[]
How old was your opponent?,[]
"Seven? Eight?'
    'He was sixteen, for your information,' snarled Dudley, 'and he was out cold for twenty minutes after I'd finished with him and he was twice as heavy as you.","['Seven', 'Eight', 'sixteen', 'Dudley', 'twenty minutes']"
"You just wait till I tell Dad you had that thing out -
    'Running to Daddy now, are you?",[]
"Is his ickle boxing champ frightened of nasty Harry's wand?'
    'Not this brave at night, are you?'","['Harry', 'night']"
"sneered Dudley.
    ",['Dudley']
"'This is night, Diddykins.",['Diddykins']
"That's what we call it when it goes all dark like this.'
    ",[]
'I mean when you're in bed!',[]
"Dudley snarled.
    ",['Dudley']
He had stopped walking.,[]
"Harry stopped too, staring at his cousin.
    ",['Harry']
"From the little he could see of Dudley's large face, he was wearing a strangely triumphant look.
    ",['Dudley']
"'What d'you mean, I'm not brave when I'm in bed?' said Harry, Completely nonplussed.",['Harry']
"'What am I supposed to be frightened of, pillows or something?'
    'I heard you last night,' said Dudley breathlessly.","['last night', 'Dudley']"
Talking in your sleep.,[]
"Moaning.'
    'What d'you mean?'",[]
"Harry said again, but there was a cold, plunging sensation in his stomach.",['Harry']
"He had revisited the graveyard last night in his dreams.
    ",['last night']
"Dudley gave a harsh bark of laughter, then adopted a high-pitched whimpering voice.
    '",['Dudley']
"""Don't kill Cedric!",['Cedric']
"Don't kill Cedric!""",['Cedric']
Who's Cedric - your boyfriend?,[]
"'
    'I - you're lying,' said Harry automatically.",['Harry']
But his mouth had gone dry.,[]
"He knew Dudley wasn't lying - how else would he know about Cedric?
    '","['Dudley', 'Cedric']"
"""Dad! Help me, Dad!",[]
"He's going to kill me, Dad! Boo hoo!''","['Dad', 'Boo hoo']"
"'
    'Shut up,' said Harry quietly.","['Shut', 'Harry quietly']"
"'Shut up, Dudley, I'm warning you!'
    ' ""Come and help me, Dad! Mum, come and help me!","['Shut', 'Dudley', 'Dad', 'Mum']"
He's killed Cedric!,['Cedric']
"Dad, help me!",[]
"He's going to - "" Don't you point that thing at me!'
    ",[]
Dudley backed into the alley wall.,['Dudley']
Harry was pointing the wand directly at Dudley's heart.,"['Harry', 'Dudley']"
"Harry could feel fourteen years' hatred of Dudley pounding in his veins - what wouldn't he give to strike now, to jinx Dudley so thoroughly he'd have to crawl home like an insect, struck dumb, sprouting feelers . .","['Harry', ""fourteen years'"", 'Dudley', 'Dudley']"
".
    ",[]
"'Don't ever talk about that again,' Harry snarled.",['Harry']
"'D'you understand me?'
    'Point that thing somewhere else!'
    ",[]
"'I said, do you understand me?'
    'Point it somewhere else!'
    ",[]
"'DO YOU UNDERSTAND ME?'
    'GET THAT THING AWAY FROM - '
    Dudley gave an odd.",['Dudley']
"shuddering gasp, as though he had been doused in icy water.
    ",[]
Something had happened to the night.,[]
"The star-strewn indigo sky was suddenly pitch black and lightless - the stars, the moon, the misty streetlamps at either end of the alley had vanished.",[]
The distant rumble of cars and the whisper of trees had gone.,[]
"The balmy evening was suddenly piercingly, bitingly cold.",[]
