sentence,entities
"  HARRY POTTER AND THE CHAMBER OF SECRETS by J. K. Rowling
  (this is BOOK 2 in the Harry Potter series)
  Original Scanned/OCR:","['J. K. Rowling', 'BOOK 2', 'Harry Potter']"
"Friday, April 07, 2000 v1.0 (edit where needed, change version number by 0.1)
  CHAPTER	ONE
  THE WORST BIRTHDAY
  Not for the first time, an argument had broken out over breakfast at number four, Privet Drive.","['Friday, April 07, 2000', '0.1', 'ONE', 'first', 'number four', 'Privet Drive']"
"Mr. Vernon Dursley had been woken in the early hours of the morning by a loud, hooting noise from his nephew Harry's room.
  ","['Vernon Dursley', 'the early hours of the morning', 'Harry']"
"""Third time this week!""","['Third', 'this week']"
he roared across the table.,[]
"""If you can't control that owl, it'll have to go!""
  Harry tried, yet again, to explain.
  ",['Harry']
"""She's bored,"" he said.",[]
"""She's used to flying around outside.",[]
"If I could just let her out at night -""
  ""Do I look stupid?"" snarled Uncle Vernon, a bit of fried egg dangling from his bushy mustache.",['Uncle Vernon']
"""I know what'll happen if that owl's let out.",[]
"""
  He exchanged dark looks with his wife, Petunia.
  ",['Petunia']
"Harry tried to argue back but his words were drowned by a long, loud belch from the Dursleys' son, Dudley.
  ","['Harry', 'Dudley']"
"1
  ""I want more bacon.",['1']
"""
  ""There's more in the frying pan, sweetums,"" said Aunt Petunia, turning misty eyes on her massive son.",['Aunt Petunia']
"""We must build you up while we've got the chance ....",[]
"I don't like the sound of that school food ......""
  ""Nonsense, Petunia, I never went hungry when I was at Smeltings,"" said Uncle Vernon heartily.","['Petunia', 'Smeltings', 'Uncle Vernon']"
"""Dudley gets enough, don't you, son?""
  Dudley, who was so large his bottom drooped over either side of the kitchen chair, grinned and turned to Harry.
  ","['Dudley', 'Dudley', 'Harry']"
"""Pass the frying pan.",[]
"""
  ""You've forgotten the magic word,"" said Harry irritably.
  ",['Harry']
"The effect of this simple sentence on the rest of the family was incredible: Dudley gasped and fell off his chair with a crash that shook the whole kitchen; Mrs. Dursley gave a small scream and clapped her hands to her mouth; Mr. Dursley jumped to his feet, veins throbbing in his temples.
  ","['Dudley', 'Dursley', 'Dursley']"
"""I meant `please'!"" said Harry quickly.",['Harry']
"""I didn't mean -""
  ""WHAT HAVE I TOLD YOU,"" thundered his uncle, spraying spit over the table, ""ABOUT SAYING THE `M' WORD IN OUR HOUSE?",['HOUSE']
"""
  ""But I -""
  ""HOW DARE YOU THREATEN DUDLEY!""",[]
"roared Uncle Vernon, pounding the table with his fist.
  ",['Uncle Vernon']
"""I just -""
  ""I WARNED YOU!",[]
I WILL NOT TOLERATE MENTION OF YOUR ABNORMALITY UNDER THIS ROOF!,[]
"""
  Harry stared from his purple-faced uncle to his pale aunt, who was trying to heave Dudley to his feet.
  ","['Harry', 'Dudley']"
"""All right,"" said Harry, ""all right. . .",['Harry']
"""
   Uncle Vernon sat back down, breathing like a winded rhinoceros and watching Harry closely out of the corners of his small, sharp eyes.
  ","['Uncle Vernon', 'Harry']"
"Ever since Harry had come home for the summer holidays, Uncle Vernon had been treating him like a bomb that might go off at any moment, because Harry Potter wasn't a normal boy.","['Harry', 'the summer holidays', 'Uncle Vernon', 'Harry Potter']"
"As a matter of fact, he was as not normal as it is possible to be.
  ",[]
Harry Potter was a wizard - a wizard fresh from his first year at Hogwarts School of Witchcraft and Wizardry.,"['Harry Potter', 'his first year', 'Hogwarts School of Witchcraft', 'Wizardry']"
"And if the Dursleys were unhappy to have him back for the holidays, it was nothing to how Harry felt.
  ","['the holidays', 'Harry felt']"
He missed Hogwarts so much it was like having a constant stomachache.,[]
"He missed the castle, with its secret passageways and ghosts, his classes (though perhaps not Snape, the Potions master), the mail arriving by owl, eating banquets in the Great Hall, sleeping in his four-poster bed in the tower dormitory, visiting the gamekeeper, Hagrid, in his cabin next to the Forbidden Forest in the grounds, and, especially, Quidditch, the most popular sport in the wizarding world (six tall goal posts, four flying balls, and fourteen players on broomsticks).
  ","['Snape', 'Potions', 'the Great Hall', 'four', 'Hagrid', 'the Forbidden Forest', 'Quidditch', 'six', 'four', 'fourteen']"
"All Harry's spellbooks, his wand, robes, cauldron, and top-of-the-line Nimbus Two Thousand broomstick had been locked in a cupboard under the stairs by Uncle Vernon the instant Harry had come home.","['Harry', 'Nimbus', 'Uncle Vernon', 'Harry']"
What did the Dursleys care if Harry lost his place on the House Quidditch team because he hadn't practiced all summer?,"['Harry', 'House', 'all summer']"
What was it to the Dursleys if Harry went back to school without any of his homework done?,"['Dursleys', 'Harry']"
"The Dursleys were what wizards called Muggles (not a drop of magical blood in their veins),
  and as far as they were concerned, having a wizard in the family was a matter of deepest shame.",[]
"Uncle Vernon had even padlocked Harry's owl, Hedwig, inside her cage, to stop her from carrying messages to anyone in the wizarding world.
  ","['Uncle Vernon', 'Harry', 'Hedwig']"
Harry looked nothing like the rest of the family.,['Harry']
"Uncle Vernon was large and neckless, with an enormous black mustache; Aunt Petunia was horse-faced and bony; Dudley was blond, pink, and porky.","['Vernon', 'Aunt Petunia', 'Dudley']"
"Harry, on the other hand, was small and skinny, with brilliant green eyes and jet-black hair that was always untidy.",['Harry']
"He wore round glasses, and on his forehead was a thin, lightning-shaped scar.
  ",[]
"It was this scar that made Harry so particularly unusual, even for a wizard.",['Harry']
"This scar was the only hint of Harry's very mysterious past, of the reason he had been left on the Dursleys' doorstep eleven years before.
  ","['Harry', 'eleven years before']"
"At the age of one year old, Harry had somehow survived a curse from the greatest Dark sorcerer of all time, Lord Voldemort, whose name most witches and wizards still feared to speak.","['the age of one year old', 'Harry']"
"Harry's parents had died in Voldemort's attack, but Harry had escaped with his lightning scar, and somehow - nobody understood why Voldemort's powers had been destroyed the instant he had failed to kill Harry.
  ","['Harry', 'Voldemort', 'Harry', 'Voldemort', 'Harry']"
So Harry had been brought up by his dead mother's sister and her husband.,['Harry']
"He had spent ten years with the Dursleys, never understanding why he kept making odd things happen without meaning to, believing the Dursleys' story that he had got his scar in the car crash that had killed his parents.
  ",['ten years']
"And then, exactly a year ago, Hogwarts had written to Harry,
  and the whole story had come out.","['a year ago', 'Hogwarts', 'Harry']"
"Harry had taken up his place at wizard school, where he and his scar were famous ... but now the school year was over, and he was back with the Dursleys for the summer, back to being treated like a dog that had rolled in something smelly.
  ","['Harry', 'the school year', 'the summer']"
The Dursleys hadn't even remembered that today happened to be Harry's twelfth birthday.,"['today', 'Harry', 'twelfth']"
"Of course, his hopes hadn't been high; they'd never given him a real present, let alone a cake - but to ignore it completely ...
  ",[]
"At that moment, Uncle Vernon cleared his throat importantly and said, ""Now, as we all know, today is a very important day.","['Uncle Vernon', 'today', 'a very important day']"
"""
  Harry looked up, hardly daring to believe it.
  ",['Harry']
"""This could well be the day I make the biggest deal of my career, "" said Uncle Vernon.
  ","['the day', 'Uncle Vernon']"
Harry went back to his toast.,['Harry']
"Of course, he thought bitterly, Un cle Vernon was talking about the stupid dinner party.","['Un', 'Vernon']"
He'd been talk ing of nothing else for two weeks.,['two weeks']
"Some rich builder and his wife were coming to dinner and Uncle Vernon was hoping to get a huge order from him (Uncle Vernon's company made drills).
  ",['Uncle Vernon']
"""I think we should run through the schedule one more time,"" said Uncle Vernon.","['one', 'Uncle Vernon']"
"""We should all be in position at eight o'clock.","[""eight o'clock""]"
"Petunia, you will be -?""
  ""In the lounge,"" said Aunt Petunia promptly, ""waiting to welcome them graciously to our home.","['Petunia', 'Aunt Petunia']"
"""
  ""Good, good.",[]
"And Dudley?""
  ""I'll be waiting to open the door.""",['Dudley']
"Dudley put on a foul, simpering smile.",['Dudley']
"""May I take your coats, Mr. and Mrs. Mason?""
  ""They'll love him!""",['Mason']
"cried Aunt Petunia rapturously.
  ",['Aunt Petunia']
"""Excellent, Dudley,"" said Uncle Vernon.","['Dudley', 'Uncle Vernon']"
Then he rounded on Harry.,['Harry']
"""And you?""
  ""I'll be in my bedroom, making no noise and pretending I'm not there,"" said Harry tonelessly.
  ",['Harry']
"""Exactly,"" said Uncle Vernon nastily.",['Uncle Vernon']
"""I will lead them into the lounge, introduce you, Petunia, and pour them -drinks.",['Petunia']
"At eight- fifteen -""
  ""I'll announce dinner,"" said Aunt Petunia.
  ","['fifteen', 'Aunt Petunia']"
"""And, Dudley, you'll say -""
  ""May I take you through to the dining room, Mrs. Mason?"" said Dudley, offering his fat arm to an invisible woman.
  ","['Dudley', 'Mason', 'Dudley']"
"""My perfect little gentleman!"" sniffed Aunt Petunia.
  ",[]
"""And you?"" said Uncle Vernon viciously to Harry.
  ","['Uncle Vernon', 'Harry']"
"""I'll be in my room, making no noise and pretending I'm not there,"" said Harry dully.
  ",['Harry']
"""Precisely.",[]
"Now, we should aim to get in a few good compliments at dinner.",[]
"Petunia, any ideas?""
  ""Vernon tells me you're a wonderful golfer, Mr. Mason....","['Petunia', 'Mason']"
"Do tell me where you bought your dress, Mrs. Mason ......
  ""Perfect. . .",['Mason']
Dudley?,['Dudley']
"""
  ""How about -'We had to write an essay about our hero at school, Mr. Mason, and I wrote about you.",['Mason']
"""'
  This was too much for both Aunt Petunia and Harry.","['Aunt Petunia', 'Harry']"
"Aunt Petunia burst into tears and hugged her son, while Harry ducked under the table so they wouldn't see him laughing.
  ","['Aunt Petunia', 'Harry']"
"""And you, boy?""
  Harry fought to keep his face straight as he emerged.
  ",['Harry']
"""I'll be in my room, making no noise and pretending I'm not there,"" he said.
  ",[]
"""Too right, you will,"" said Uncle Vernon forcefully.",['Uncle Vernon']
"""The Ma sons don't know anything about you and it's going to stay that way.",['Ma']
"When dinner's over, you take Mrs. Mason back to the lounge for coffee, Petunia, and I'll bring the subject around to drills.","['Mason', 'Petunia']"
"With any luck, I'll have the deal signed and sealed before the news at ten. be shopping for a vacation home in Majorca this time to morrow.","['ten', 'Majorca']"
Harry couldn't feel too excited about this.,['Harry']
He didn't think the Dursleys would like him any better in Majorca than they did on Privet Drive.,"['Majorca', 'Privet Drive']"
"""Right - I'm off into town to pick up the dinner jackets for Dudley and me.",['Dudley']
"And you,"" he snarled at Harry.",['Harry']
"""You stay out of your aunt's way while she's cleaning.""",[]
Harry left through the back door.,['Harry']
"It was a brilliant, sunny day.",[]
"He crossed the lawn, slumped down on the garden bench, and sang under his breath: ""Happy birthday to me ... happy birthday to me. . .",[]
"No cards, no presents, and he would be spending the evening pretending not to exist.",['evening']
He gazed miserably into the hedge.,[]
He had never felt so lonely.,[]
"More than anything else at Hogwarts, more even than playing Quidditch, Harry missed his best friends, Ron Weasley and Hermione Granger.","['Quidditch', 'Harry', 'Ron Weasley', 'Hermione Granger']"
"They, however, didn't seem to be missing him at all.",[]
"Neither of them had written to him all summer, even though Ron had said he was going to ask Harry to come and stay.","['Ron', 'Harry']"
"Countless times, Harry had been on the point of unlocking Hedwig's cage by magic and sending her to Ron and Hermione with a letter, but it wasn't worth the risk.","['Harry', 'Hedwig', 'Ron']"
Underage wizards weren't allowed to use magic outside of school.,[]
"Harry hadn't told the
  Dursleys this; he knew it was only their terror that he might turn them all into dung beetles that stopped them from locking him in the cupboard under the stairs with his wand and broomstick.",['Harry']
"For the first couple of weeks back, Harry had enjoyed muttering nonsense words under his breath and watching Dudley tearing out of the room as fast as his fat legs would carry him.","['the first couple of weeks back', 'Harry', 'Dudley']"
