sentence,entities
"  Harry Potter and the Goblet of Fire
  By J.K. Rowling
THIS E-TEXT WAS NOT PRODUCED FOR PROFIT AND IS NOT FOR SALE.
","['Harry Potter', 'J.K. Rowling']"
we all know this is a copyright protected book....,[]
"blah, blah, blah.",['blah']
"no reproduction by any means...blah, blah, blah.",[]
"enjoy.
  ",[]
"To Peter Rowling.
  ",['Peter Rowling']
"In Memory of Mr. Ridley.
  ",['Ridley']
"And to Susan Sladden.
  ",['Susan Sladden']
"Who Helped Harry
  Out of His Cupboard.
  ","['Harry\n  Out', 'Cupboard']"
"CONTENTS
  ONE
  The Riddle House - 1
  TWO
  The Scar - 16
  THREE
  The Invitation - 26
  FOUR
  Back to the Burrow - 39
  FIVE
  Weasleys' Wizard Wheezes - 51
  SIX
  The Portkey - 65
  SEVEN
  Bagman and Crouch - 75
  EIGHT
  The Quidditch World Cup - 95
  NINE
  The Dark Mark - 117
  TEN
  Mayhem at the Ministry - 145
  ELEVEN
  Aboard the Hogwarts Express - 158
  TWELVE
  ","['ONE', 'The Riddle House - 1', 'TWO', 'THREE', 'FIVE', 'Wizard Wheezes - 51', 'SIX', 'SEVEN', 'The Quidditch World Cup -', 'NINE', 'TEN']"
"The Triwizard Tournament - 171
  THIRTEEN
  Mad-Eye Moody - 193
  FOURTEEN
  The Unforgivable Curses - 209
  FIFTEEN
  Beauxbatons and Durmstrang - 228
  SIXTEEN
  The Goblet of Fire - 248
  SEVENTEEN
  The Four Champions -272
  EIGHTEEN
  ",[]
"The Weighing of the Wands -288
  NINTEEN
  The Hungarian Horntail -313
  TWENTY
  The First Task - 337
  TWENTY-ONE
  The House-Elf Liberation Front - 363
  TWENTY-TWO
  The Unexpected Task - 385
  TWENTY-THREE
  The Yule Ball - 403
  TWENTY-FOUR
  Rita Skeeter's Scoop - 433
  TWENTY-FIVE
  The Egg and the Eye - 458
  TWENTY-SIX
  The Second Task - 479
  TWENTY-SEVEN
  Padfoot Returns - 509
  TWENTY-EIGHT
  The Madness of Mr. Crouch - 535
  TWENTY-NINE
  The Dream - 564
  THIRTY
  The Pensive - 581
  THIRTY-ONE
  The Third Task - 605
  THIRTY-TWO
  Flesh, Blood, and Bone - 636
  THIRTY-THREE
  The Death Eaters - 644
  THIRTY-FOUR
  Priori Incantatem - 659
  THIRTY-FIVE
  Veritaserum - 670
  THIRTY-SIX
  The Parting of the Ways - 692
  THIRTY-SEVEN
  The Beginning - 716
  HARRY POTTER AND THE GOBLET OF FIRE
  CHAPTER ONE - THE RIDDLE HOUSE
  ","['The Hungarian Horntail', 'TWENTY-ONE', 'The House-Elf Liberation Front - 363\n  TWENTY-TWO\n  ', 'TWENTY-FOUR', 'Rita Skeeter', 'TWENTY-FIVE', 'TWENTY-SIX', 'TWENTY-SEVEN', 'TWENTY-EIGHT', 'Crouch', 'Blood', 'Bone - 636', 'RIDDLE']"
"The villagers of Little Hangleron still called it ""the Riddle House,"" even though it had been many years since the Riddle family had lived there.","['Little Hangleron', 'the Riddle House', 'many years', 'Riddle']"
"It stood on a hill overlooking the village, some of its windows boarded, tiles missing from its roof, and ivy spreading unchecked over its face.",[]
"Once a fine-looking manor, and easily the largest and grandest building for miles around, the Riddle House was now damp, derelict, and unoccupied.
  ",['the Riddle House']
"The Little Hagletons all agreed that the old house was ""creepy.""","['The Little Hagletons', 'creepy']"
"Half a century ago, something strange and horrible had happened there, something that the older inhabitants of the village still liked to discuss when topics for gossip were scarce.
  ",['Half a century ago']
"The story had been picked over so many times, and had been embroidered in so many places, that nobody was quite sure what the truth was anymore.",[]
"Every version of the tale, however, started in the same place: Fifty years before, at daybreak on a fine summer's morning when the Riddle House had still been well kept and impressive, a maid had entered the drawing room to find all three Riddles dead.
  ","['Fifty years', ""a fine summer's"", 'the Riddle House', 'three', 'Riddles']"
"The maid had run screaming down the hill into the village and roused as many people as she could.
  ",[]
"""Lying there with their eyes wide open!",[]
Cold as ice!,[]
"Still in their dinner things!""
  ",[]
"The police were summoned, and the whole of Little Hangleton had seethed with shocked curiosity and ill-disguised excitement.",['Little Hangleton']
"Nobody wasted their breath pretending to feel very sad about the Riddles, for they had been most unpopular.",['Riddles']
"Elderly Mr. and Mrs.
  Riddle had been rich, snobbish, and rude, and their grown-up son, Tom, had been, if anything, worse.",['Tom']
"All the villagers cared about was the identity of their murderer -- for plainly, three apparently healthy people did not all drop dead of natural causes on the same night.
  ","['three', 'the same night']"
"The Hanged Man, the village pub, did a roaring trade that night; the whole village seemed to have turned out to discuss the murders.","['Hanged Man', 'that night']"
"They were rewarded for leaving their firesides when the Riddles' cook arrived dramatically in their midst and announced to the suddenly silent pub that a man called Frank Bryce had just been arrested.
  ","['Riddles', 'Frank Bryce']"
"""Frank!"" cried several people.",['Frank']
"""Never!""
  Frank Bryce was the Riddles' gardener.","['Frank Bryce', 'Riddles']"
He lived alone in a run-down cottage on the grounds of the Riddle House.,['the Riddle House']
"Frank had come back from the war with a very stiff leg and a great dislike of crowds and loud noises, and had been working for the Riddles ever since.
  ","['Frank', 'Riddles']"
"There was a rush to buy the cook drinks and hear more details.
  ",[]
"""Always thought he was odd,"" she told the eagerly listening villagers, after her fourth sherry.",['fourth']
"""Unfriendly, like.",[]
"I'm sure if I've offered him a cuppa once, I've offered it a hundred times.",['hundred']
"Never wanted to mix, he didn't.",[]
"""
  ""Ah, now,"" said a woman at the bar, ""he had a hard war, Frank.",['Frank']
He likes the quiet life.,[]
"That's no reason to --""
  ""Who else had a key to the back door, then?"" barked the cook.",[]
"""There's been a spare key hanging in the gardener's cottage far back as I can remember!",[]
Nobody forced the door last night!,['last night']
No broken windows!,[]
"All Frank had to do was creep up to the big house while we was all sleeping...""
  The villagers exchanged dark looks.
  ",['Frank']
"""I always thought that he had a nasty look about him, right enough,"" grunted a man at the bar.
  ",[]
"""War turned him funny, if you ask me,"" said the landlord.
  ",[]
"""Told you I wouldn't like to get on the wrong side of Frank, didn't I, Dot?"" said an excited woman in the corner.
  ","['Frank', 'Dot']"
"""Horrible temper,"" said Dot, nodding fervently.",['Dot']
"""I remember, when he was a kid...""
  By the following morning, hardly anyone in Little Hangleton doubted that Frank Bryce had killed the Riddles.
  ","['the following morning', 'Little Hangleton', 'Frank Bryce', 'Riddles']"
"But over in the neighboring town of Great Hangleton, in the dark and dingy police station, Frank was stubbornly repeating, again and again, that he was innocent, and that the only person he had seen near the house on the day of the Riddles' deaths had been a teenage boy, a stranger, dark-haired and pale.","['Great Hangleton', 'Frank', 'the day', 'Riddles']"
"Nobody else in the village had seen any such boy, and the police were quite sure Frank had invented him.
  ",['Frank']
"Then, just when things were looking very serious for Frank, the report on the Riddles' bodies came back and changed everything.
  ","['Frank', 'Riddles']"
The police had never read an odder report.,[]
"A team of doctors had examined the bodies and had concluded that none of the Riddles had been poisoned, stabbed, shot, strangles, suffocated, or (as far as they could tell) harmed at all.",['Riddles']
"In fact (the report continued, in a tone of unmistakable bewilderment), the Riddles all appeared to be in perfet health -- apart from the fact that they were all dead.",['Riddles']
"The doctors did note (as though determined to find something wrong with the bodies) that each of the Riddles had a look of terror upon his or her face -- but as the frustrated police said, whoever heard of three people being frightened to death?
  ","['Riddles', 'three']"
"As there was no proof that the Riddles had been murdered at all, the police were forced to let Frank go.","['Riddles', 'Frank']"
"The Riddles were buried in the Little Hangleton churchyard, and their graves remained objects of curiosity for a while.","['Riddles', 'Little Hangleton']"
"To everyone's surprise, and amid a cloud of suspicion, Frank Bryce returned to his cottage on the grounds of the Riddle House.
  ","['Frank Bryce', 'the Riddle House']"
"""'S far as I'm concerned, he killed them, and I don't care what the police say,""
  said Dot in the Hanged Man.",['Dot']
"""And if he had any decency, he'd leave here, knowing as how we knows he did it.",[]
"""
  ",[]
But Frank did not leave.,['Frank']
"He stayed to tend the garden for the next family who lived in the Riddle House, and then the next -- for neither family stayed long.",['the Riddle House']
"Perhaps it was partly because of Frank that the new owners said there was a nasty feeling about the place, which, in the absence of inhabitants, started to fall into disrepair.
  ",['Frank']
"The wealthy man who owned the Riddle House these days neither lived there nor put it to any use; they said in the village that he kept it for ""tax reasons,"" though nobody was very clear what these might be.","['the Riddle House', 'these days']"
"The wealthy owner continued to pay Frank to do the gardening, however.",['Frank']
"Frank was nearing his seventy-seventh birthday now, very deaf, his bad leg stiffer than ever, but could be seen pottering around the flower beds in fine weather, even though the weeds were starting to creep up on him, try as he might to suppress them.
  ",['Frank']
Weeds were not the only things Frank had to contend with either.,['Frank']
Boys from the village made a habit of throwing stones through the windows of the Riddle House.,['the Riddle House']
They rode their bicycles over the lawns Frank worked so hard to keep smooth.,['Frank']
"Once or twice, they broke into the old house for a dare.",[]
"They knew that old Frank's devotion to the house and the grounds amounted almost to an obsession, and it amused them to see him limping across the garden, brandishing his stick and yelling croakily at them.",['Frank']
"Frank, for his part, believed the boys tormented him because they, like their parents and grandparents, though him a murderer.",['Frank']
"So when Frank awoke one night in August and saw something very odd up at the old house, he merely assumed that the boys had gone one step further in their attempts to punish him.
  ","['Frank', 'one night', 'August', 'one']"
It was Frank's bad leg that woke him; it was paining him worse than ever in his old age.,['Frank']
He got up and limped downstairs into the kitchen with the idea of refilling his hot-water bottle to ease the stiffness in his knee.,[]
"Standing at the sink, filling the kettle, he looked up at the Riddle House and saw lights glimmering in its upper windows.
  ",['the Riddle House']
Frank knew at once what was going on.,['Frank']
"The boys had broken into the house again, and judging by the flickering quality of the light, they had started a fire.
  ",[]
"Frank had no telephone, in any case, he had deeply mistrusted the police ever since they had taken him in for questioning about the Riddles' deaths.","['Frank', 'Riddles']"
